id before_type
180253 TREATMENT_EVENT
182606 TREATMENT_EVENT
180260 FIRST
180962 FIRST
180271 FIRST
181333 FIRST
181330 TREATMENT_EVENT
181903 FIRST
180966 FIRST
181894 FIRST
180964 FIRST
181920 FIRST
180248 FIRST
180961 FIRST
181891 FIRST
182618 FIRST
182619 TREATMENT_EVENT
180267 FIRST
180257 FIRST
181890 FIRST
180250 FIRST
182613 FIRST
181914 FIRST
181915 FIRST
180252 TREATMENT_EVENT
181322 FIRST
182607 FIRST
181904 FIRST
181323 FIRST
180720 FIRST
180255 FIRST
180722 VISIT_EVENT
181908 FIRST
181329 TREATMENT_EVENT
180258 FIRST
181921 VISIT_EVENT
179646 TREATMENT_EVENT
179619 FIRST
178628 FIRST
178621 FIRST
178622 FIRST
179644 FIRST
179639 FIRST
178605 FIRST
178632 TREATMENT_EVENT
178634 FIRST
179645 TREATMENT_EVENT
179641 FIRST
179621 FIRST
179649 FIRST
179631 FIRST
179623 FIRST
179642 FIRST
178626 FIRST
178603 FIRST
179638 FIRST
179622 FIRST
179647 TREATMENT_EVENT
178608 TREATMENT_EVENT
179632 TREATMENT_EVENT
178620 FIRST
179630 TREATMENT_EVENT
178607 FIRST
178614 FIRST
178618 FIRST
179625 FIRST
178617 FIRST
178604 FIRST
178635 FIRST
179643 FIRST
178633 TREATMENT_EVENT
178612 TREATMENT_EVENT
179633 FIRST
178616 FIRST
179628 TREATMENT_EVENT
178619 FIRST
179640 FIRST
178615 TREATMENT_EVENT
178611 TREATMENT_EVENT
179636 FIRST
179651 FIRST
178630 FIRST
178631 FIRST
178625 FIRST
178610 TREATMENT_EVENT
178627 FIRST
178636 VISIT_EVENT
178629 FIRST
179629 TREATMENT_EVENT
179626 FIRST
178609 CONDITION_EVENT
179635 FIRST
178613 TREATMENT_EVENT
179637 FIRST
179648 FIRST
178623 FIRST
179618 FIRST
179650 TREATMENT_EVENT
179634 FIRST
179624 FIRST
179620 FIRST
178624 FIRST
179652 VISIT_EVENT
178606 FIRST
179627 TREATMENT_EVENT
177946 FIRST
177947 FIRST
177971 VISIT_EVENT
177954 FIRST
177970 VISIT_EVENT
177967 FIRST
177962 TREATMENT_EVENT
177943 FIRST
177931 FIRST
177935 FIRST
177933 TREATMENT_EVENT
177941 FIRST
177969 TREATMENT_EVENT
177957 FIRST
177937 FIRST
177942 FIRST
177953 FIRST
177929 FIRST
177939 TREATMENT_EVENT
177955 FIRST
177932 VISIT_EVENT
177948 FIRST
177968 FIRST
177963 FIRST
177959 TREATMENT_EVENT
177949 FIRST
177938 FIRST
177961 FIRST
177936 FIRST
177945 FIRST
177950 FIRST
177964 FIRST
177927 FIRST
177928 FIRST
177965 VISIT_EVENT
177944 FIRST
177934 VISIT_EVENT
177960 VISIT_EVENT
177930 TREATMENT_EVENT
177951 FIRST
177940 TREATMENT_EVENT
177958 TREATMENT_EVENT
177966 FIRST
177956 TREATMENT_EVENT
177952 FIRST
140354 CONDITION_EVENT
140542 CONDITION_EVENT
140353 FIRST
141495 FIRST
140544 CONDITION_EVENT
141497 FIRST
140541 FIRST
140351 FIRST
140543 FIRST
141494 FIRST
