id concurrent_type
180974 TREATMENT_EVENT
182622 TREATMENT_EVENT
180259 TREATMENT_EVENT
182617 Event
181897 TREATMENT_EVENT
180963 TREATMENT_EVENT
181336 Event
181910 Event
182620 TREATMENT_EVENT
180256 TREATMENT_EVENT
180971 Event
180713 TREATMENT_EVENT
182621 Event
180973 TREATMENT_EVENT
180265 TREATMENT_EVENT
181899 TREATMENT_EVENT
180970 TREATMENT_EVENT
180247 TREATMENT_EVENT
181324 TREATMENT_EVENT
180716 TREATMENT_EVENT
182602 TREATMENT_EVENT
180967 TREATMENT_EVENT
181321 TREATMENT_EVENT
181328 TREATMENT_EVENT
182616 Event
180977 Event
180268 Event
180254 Event
181892 TREATMENT_EVENT
182611 TREATMENT_EVENT
180715 TREATMENT_EVENT
180251 TREATMENT_EVENT
180261 TREATMENT_EVENT
182614 Event
180249 TREATMENT_EVENT
180246 TREATMENT_EVENT
181332 TREATMENT_EVENT
181893 TREATMENT_EVENT
181911 Event
182603 TREATMENT_EVENT
181334 TREATMENT_EVENT
182605 TREATMENT_EVENT
180968 Event
182623 TREATMENT_EVENT
181909 TREATMENT_EVENT
180714 TREATMENT_EVENT
180266 TREATMENT_EVENT
182612 TREATMENT_EVENT
180718 TREATMENT_EVENT
180976 TREATMENT_EVENT
181335 TREATMENT_EVENT
181917 TREATMENT_EVENT
182609 TREATMENT_EVENT
182625 Event
180972 TREATMENT_EVENT
181906 TREATMENT_EVENT
180262 TREATMENT_EVENT
181918 TREATMENT_EVENT
180263 TREATMENT_EVENT
181320 TREATMENT_EVENT
180272 Event
180719 Event
180975 TREATMENT_EVENT
181912 TREATMENT_EVENT
180717 Event
180978 Event
180965 TREATMENT_EVENT
181907 TREATMENT_EVENT
181325 TREATMENT_EVENT
182608 TREATMENT_EVENT
181326 TREATMENT_EVENT
180253 Event
182606 Event
180260 TREATMENT_EVENT
180962 TREATMENT_EVENT
180271 TREATMENT_EVENT
181333 TREATMENT_EVENT
181330 Event
181903 TREATMENT_EVENT
180966 TREATMENT_EVENT
181894 TREATMENT_EVENT
180964 TREATMENT_EVENT
181920 TREATMENT_EVENT
180248 TREATMENT_EVENT
180961 TREATMENT_EVENT
181891 TREATMENT_EVENT
182618 TREATMENT_EVENT
182619 Event
180267 TREATMENT_EVENT
180257 TREATMENT_EVENT
181890 TREATMENT_EVENT
180250 TREATMENT_EVENT
182613 TREATMENT_EVENT
181914 TREATMENT_EVENT
181915 TREATMENT_EVENT
180252 Event
181322 TREATMENT_EVENT
182607 TREATMENT_EVENT
181904 TREATMENT_EVENT
181323 TREATMENT_EVENT
180720 TREATMENT_EVENT
180255 TREATMENT_EVENT
180722 Event
181908 TREATMENT_EVENT
181329 Event
180258 TREATMENT_EVENT
181921 Event
179646 Event
179619 TREATMENT_EVENT
178628 TREATMENT_EVENT
178621 TREATMENT_EVENT
178622 TREATMENT_EVENT
179644 TREATMENT_EVENT
179639 TREATMENT_EVENT
178605 TREATMENT_EVENT
178632 Event
178634 TREATMENT_EVENT
179645 Event
